value,Complex,var,Month,Year
5.69031429290772,SGSouth,sstRe,11,1997
4.07053232192993,SPEast,sstRe,11,1997
4.85468196868897,SPEnglishBay,sstRe,11,1997
5.07984066009522,SPReefPoint,sstRe,11,1997
8.82982635498047,SGNorth,sstRe,07,1998
8.6549596786499,SGSouth,sstRe,07,1998
7.84459257125855,SPEast,sstRe,07,1998
7.6030216217041,SPEnglishBay,sstRe,07,1998
8.11874103546143,SPReefPoint,sstRe,07,1998
10.2198028564453,SGNorth,sstRe,08,1998
10.1785430908203,SGSouth,sstRe,08,1998
9.19594669342041,SPEast,sstRe,08,1998
9.35860633850098,SPEnglishBay,sstRe,08,1998
9.76504611968994,SPReefPoint,sstRe,08,1998
7.83121013641357,SGNorth,sstRe,09,1998
8.02128314971924,SGSouth,sstRe,09,1998
7.0449800491333,SPEast,sstRe,09,1998
7.44330978393555,SPEnglishBay,sstRe,09,1998
7.64048337936401,SPReefPoint,sstRe,09,1998
6.60156345367432,SGNorth,sstRe,10,1998
6.82442951202393,SGSouth,sstRe,10,1998
5.63210916519165,SPEast,sstRe,10,1998
6.15211820602417,SPEnglishBay,sstRe,10,1998
6.37211990356445,SPReefPoint,sstRe,10,1998
5.52468395233154,SGNorth,sstRe,11,1998
5.58155155181885,SGSouth,sstRe,11,1998
4.28617572784424,SPEast,sstRe,11,1998
4.61690092086792,SPEnglishBay,sstRe,11,1998
5.02709007263184,SPReefPoint,sstRe,11,1998
7.99446439743042,SGNorth,sstRe,07,1999
7.92147827148438,SGSouth,sstRe,07,1999
7.09105777740479,SPEast,sstRe,07,1999
7.06757783889771,SPEnglishBay,sstRe,07,1999
7.51124858856201,SPReefPoint,sstRe,07,1999
8.06861114501953,SGNorth,sstRe,08,1999
8.02562427520752,SGSouth,sstRe,08,1999
7.30488920211792,SPEast,sstRe,08,1999
7.6500415802002,SPEnglishBay,sstRe,08,1999
7.81205606460571,SPReefPoint,sstRe,08,1999
8.18509483337402,SGNorth,sstRe,09,1999
8.37199687957764,SGSouth,sstRe,09,1999
7.28625917434692,SPEast,sstRe,09,1999
7.8138632774353,SPEnglishBay,sstRe,09,1999
8.01179599761963,SPReefPoint,sstRe,09,1999
6.93581199645996,SGNorth,sstRe,10,1999
7.11679410934448,SGSouth,sstRe,10,1999
5.85324144363403,SPEast,sstRe,10,1999
6.47670698165894,SPEnglishBay,sstRe,10,1999
6.73801279067993,SPReefPoint,sstRe,10,1999
4.82161617279053,SGNorth,sstRe,11,1999
5.23365163803101,SGSouth,sstRe,11,1999
3.07574486732483,SPEast,sstRe,11,1999
3.83030462265015,SPEnglishBay,sstRe,11,1999
4.2487998008728,SPReefPoint,sstRe,11,1999
7.67275762557983,SGNorth,sstRe,07,2000
7.6586012840271,SGSouth,sstRe,07,2000
7.32941484451294,SPEast,sstRe,07,2000
7.59918689727783,SPEnglishBay,sstRe,07,2000
7.55307722091675,SPReefPoint,sstRe,07,2000
8.669189453125,SGNorth,sstRe,08,2000
8.87706470489502,SGSouth,sstRe,08,2000
8.46674633026123,SPEast,sstRe,08,2000
8.93568420410156,SPEnglishBay,sstRe,08,2000
8.83332347869873,SPReefPoint,sstRe,08,2000
8.20003986358643,SGNorth,sstRe,09,2000
8.42540168762207,SGSouth,sstRe,09,2000
7.3197832107544,SPEast,sstRe,09,2000
7.65728425979614,SPEnglishBay,sstRe,09,2000
7.93270587921143,SPReefPoint,sstRe,09,2000
6.84268379211426,SGNorth,sstRe,10,2000
6.99161624908447,SGSouth,sstRe,10,2000
6.16210746765137,SPEast,sstRe,10,2000
6.66054916381836,SPEnglishBay,sstRe,10,2000
6.79189300537109,SPReefPoint,sstRe,10,2000
5.8843240737915,SGNorth,sstRe,11,2000
5.82518529891968,SGSouth,sstRe,11,2000
5.33080387115479,SPEast,sstRe,11,2000
5.38049030303955,SPEnglishBay,sstRe,11,2000
5.58015394210815,SPReefPoint,sstRe,11,2000
8.60685157775879,SGNorth,sstRe,07,2001
8.77308464050293,SGSouth,sstRe,07,2001
7.52016925811768,SPEast,sstRe,07,2001
7.60993671417236,SPEnglishBay,sstRe,07,2001
8.01504325866699,SPReefPoint,sstRe,07,2001
9.9612340927124,SGNorth,sstRe,08,2001
9.80105590820312,SGSouth,sstRe,08,2001
8.9914026260376,SPEast,sstRe,08,2001
8.97910022735596,SPEnglishBay,sstRe,08,2001
9.35490703582764,SPReefPoint,sstRe,08,2001
8.90158462524414,SGNorth,sstRe,09,2001
8.88899421691895,SGSouth,sstRe,09,2001
8.11147499084473,SPEast,sstRe,09,2001
8.37550449371338,SPEnglishBay,sstRe,09,2001
8.63730430603027,SPReefPoint,sstRe,09,2001
7.16299486160278,SGNorth,sstRe,10,2001
7.16836166381836,SGSouth,sstRe,10,2001
5.94741535186768,SPEast,sstRe,10,2001
6.34314060211182,SPEnglishBay,sstRe,10,2001
6.70576000213623,SPReefPoint,sstRe,10,2001
5.6213436126709,SGNorth,sstRe,11,2001
5.65774154663086,SGSouth,sstRe,11,2001
4.37886524200439,SPEast,sstRe,11,2001
4.7806453704834,SPEnglishBay,sstRe,11,2001
5.18705177307129,SPReefPoint,sstRe,11,2001
8.69443511962891,SGNorth,sstRe,07,2002
8.28171920776367,SGSouth,sstRe,07,2002
8.11499500274658,SPEast,sstRe,07,2002
8.111328125,SPEnglishBay,sstRe,07,2002
8.28868198394775,SPReefPoint,sstRe,07,2002
10.2194204330444,SGNorth,sstRe,08,2002
9.62361240386963,SGSouth,sstRe,08,2002
10.1746673583984,SPEast,sstRe,08,2002
9.89184093475342,SPEnglishBay,sstRe,08,2002
10.0432662963867,SPReefPoint,sstRe,08,2002
8.87892723083496,SGNorth,sstRe,09,2002
8.65405941009522,SGSouth,sstRe,09,2002
8.87439727783203,SPEast,sstRe,09,2002
9.00325012207031,SPEnglishBay,sstRe,09,2002
8.94125747680664,SPReefPoint,sstRe,09,2002
7.24389410018921,SGNorth,sstRe,10,2002
7.17569780349731,SGSouth,sstRe,10,2002
6.69427490234375,SPEast,sstRe,10,2002
6.94994735717773,SPEnglishBay,sstRe,10,2002
7.04959154129028,SPReefPoint,sstRe,10,2002
5.7484769821167,SGNorth,sstRe,11,2002
5.55817031860352,SGSouth,sstRe,11,2002
4.91666460037231,SPEast,sstRe,11,2002
4.99159955978394,SPEnglishBay,sstRe,11,2002
5.30094242095947,SPReefPoint,sstRe,11,2002
9.33798217773438,SGNorth,sstRe,07,2003
9.15634250640869,SGSouth,sstRe,07,2003
9.16394519805908,SPEast,sstRe,07,2003
9.10145378112793,SPEnglishBay,sstRe,07,2003
9.19898891448975,SPReefPoint,sstRe,07,2003
10.5344018936157,SGNorth,sstRe,08,2003
10.1622877120972,SGSouth,sstRe,08,2003
10.2972183227539,SPEast,sstRe,08,2003
10.1237535476685,SPEnglishBay,sstRe,08,2003
10.2894983291626,SPReefPoint,sstRe,08,2003
10.3369770050049,SGNorth,sstRe,09,2003
9.83675479888916,SGSouth,sstRe,09,2003
10.6056308746338,SPEast,sstRe,09,2003
10.1855907440186,SPEnglishBay,sstRe,09,2003
10.2340450286865,SPReefPoint,sstRe,09,2003
8.08276462554932,SGNorth,sstRe,10,2003
7.82514715194702,SGSouth,sstRe,10,2003
7.66715288162231,SPEast,sstRe,10,2003
7.72359991073608,SPEnglishBay,sstRe,10,2003
7.82539319992065,SPReefPoint,sstRe,10,2003
6.54064178466797,SGNorth,sstRe,11,2003
6.34821939468384,SGSouth,sstRe,11,2003
5.9265284538269,SPEast,sstRe,11,2003
6.00965118408203,SPEnglishBay,sstRe,11,2003
6.16485548019409,SPReefPoint,sstRe,11,2003
9.89610004425049,SGNorth,sstRe,07,2004
9.33297634124756,SGSouth,sstRe,07,2004
9.41587448120117,SPEast,sstRe,07,2004
9.06973266601562,SPEnglishBay,sstRe,07,2004
9.35502338409424,SPReefPoint,sstRe,07,2004
10.2957906723022,SGNorth,sstRe,08,2004
9.78886604309082,SGSouth,sstRe,08,2004
10.5216035842896,SPEast,sstRe,08,2004
10.1126670837402,SPEnglishBay,sstRe,08,2004
10.0603313446045,SPReefPoint,sstRe,08,2004
